871,江苏长青农化股份有限公司,江苏,扬州市,22.45亿,2.28亿,2004,2010-04-16,--,农药,除草剂、杀虫剂、杀菌剂、调节剂、化肥、服务业,致力于原药、制剂的研发、生产与销售业务。
872,北京利尔高温材料股份有限公司,北京,北京市,22.88亿,1.66亿,2284,2010-04-23,--,耐火材料,耐火材料,钢铁、有色、石化、建材、环保等工业用高温材料及冶金炉料辅料的研发设计、配置配套、生产制造、安装施工、使用维护与技术服务为一体的“全程在线服务”的整体承包业务。
873,天津力生制药股份有限公司,天津,天津市,10.29亿,1.17亿,1691,2010-04-23,--,化学制剂,医药制造,医药产品研发、生产和销售。
874,江苏联发纺织股份有限公司,江苏,南通市,40.04亿,3.56亿,7615,2010-04-23,--,棉纺,色织布、服装、棉纱、印染布、印花布、家纺布、棉花、电、汽、污水处理、压缩空气,专业化生产销售色织布、服装、纺织品的外向型棉纺织。
875,无锡双象超纤材料股份有限公司,江苏,无锡市,12.73亿,3051.28万,602,2010-04-29,--,塑料制品,超细纤维超真皮革、PU合成革、PVC人造革、PMMA、PMMA板材,超细纤维超真皮革、PU合成革、PVC人造革的生产和销售，经营进料加工和“三来一补”业务。
876,福建星网锐捷通讯股份有限公司,福建,福州市,77.05亿,6.64亿,9520,2010-06-23,--,通信终端设备,网络终端、企业级网络设备、通讯产品、视频信息应用,为企业级客户提供信息化解决方案。
877,湖南梦洁家纺股份有限公司,湖南,长沙市,19.34亿,8084.01万,3150,2010-04-29,--,家纺,套件、被芯、枕芯,高端床上用品的设计、生产和销售以及高品质的家居生活服务。
878,垒知控股集团股份有限公司,福建,厦门市,19.98亿,1.93亿,2651,2010-05-06,--,专业工程,综合技术服务、新型建筑材料,综合技术服务及外加剂新材料
879,深圳市海普瑞药业集团股份有限公司,广东,深圳市,28.43亿,1.99亿,1957,2010-05-06,--,化学原料药,肝素钠以及低分子肝素钠原料药、制剂、CDMO,肝素产业链、生物大分子CDMO和创新药物的投资、开发和商业化。
880,广东省广告集团股份有限公司,广东,广州市,112.95亿,-1.01亿,3027,2010-05-06,--,营销服务,广告行业,媒介代理、数字营销、品牌管理、自有媒体发布、公关活动等服务。
581,福建浔兴拉链科技股份有限公司,福建,泉州市,18.60亿,1.38亿,4165,2006-12-22,--,服饰辅料,拉链、跨境电商,拉链业务、跨境电商出口业务。
582,浙江海翔药业股份有限公司,浙江,台州市,23.09亿,3.42亿,3282,2006-12-26,--,化学原料药,抗生素类、降糖类、心血管类、染料、染颜料中间体,特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。
583,天康生物股份有限公司,新疆,乌鲁木齐市,46.30亿,4.04亿,3324,2006-12-26,--,饲料,生猪屠宰及肉制品销售、生猪、饲料、兽药、农产品加工、牛奶、代养业务,动物疫苗、饲料及饲用植物蛋白的生产及销售，种猪繁育、生猪养殖、屠宰加工及肉制品销售，融资担保业务。
584,广东鸿图科技股份有限公司,广东,肇庆市,50.03亿,3.44亿,7422,2006-12-29,--,汽车零部件,汽车类压铸件、通讯设备类压铸件、机电及其他类压铸件、汽车改装、汽车饰件、股权投资,精密铝合金压铸件业务、汽车内外饰件业务、专用车业务。
585,冠福控股股份有限公司,福建,泉州市,97.36亿,2.78亿,949,2006-12-29,--,医药中间体,医药中间体、塑料原材料、让售材料、租金物业、融资租赁,医药中间体研发、生产、销售业务兼对维生素E研发、生产、销售业务的投资；塑贸电商业务；投资性房地产租赁经营业务；黄金采矿业务。
586,广博集团股份有限公司,浙江,宁波市,23.78亿,1.10亿,2595,2007-01-10,--,文化用品,包装物、本册、办公用品、互联网广告业务、跨境电商,文具的生产制造与销售、互联网广告营销与服务。
587,恒宝股份有限公司,江苏,镇江市,13.68亿,1.64亿,1325,2007-01-10,--,通信终端设备,票证类、制卡类、模块类、网络版会员软件、电子智能支付设备、特种物联网业务,高端智能化产品及数字安全解决方案等服务。
588,深圳信隆健康产业发展股份有限公司,广东,深圳市,17.46亿,4300.27万,3496,2007-01-12,--,自行车,车把、立管、座管、前叉、运动健身器材、康复器材、碟刹,自行车零配件、运动健身康复器材生产及销售
589,深圳莱宝高科技股份有限公司,广东,深圳市,39.89亿,1.49亿,1454,2007-01-12,--,显示器件,平板显示材料、触控器件,研发和生产平板显示材料及触控器件。
590,山东沃华医药科技股份有限公司,山东,潍坊市,7.27亿,8079.79万,1356,2007-01-24,--,中药生产,中成药,"研发,生产,销售为一体的中成药企业。"
591,沧州明珠塑料股份有限公司,河北,沧州市,35.24亿,5.45亿,2091,2007-01-24,--,管材,PE管道、BOPA薄膜、锂离子电池隔膜产品,PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售。
592,陕西兴化化学股份有限公司,陕西,咸阳市,18.94亿,2.06亿,1298,2007-01-26,--,民爆用品,合成氨(液氨)、甲醇、甲胺、二甲基甲酰胺(DMF),化工产品的生产与销售。
593,福建三钢闽光股份有限公司,福建,三明市,316.86亿,57.43亿,13920,2007-01-26,--,普钢,建筑用材、制品用材、中厚板材、优质圆钢、合金带钢、煤化工产品,钢铁为主业，辅以配套、延伸等附属产业。
594,威海广泰空港设备股份有限公司,山东,威海市,18.04亿,1.18亿,2178,2007-01-26,--,其他专用机械,空港设备、消防装备、消防报警,集空港装备、消防装备、军工装备、无人机、移动医疗装备、电力电子装备于一体的智能化高端保障装备制造平台。
595,三变科技股份有限公司,浙江,台州市,5.36亿,-1.25亿,689,2007-02-08,--,其他输变电设备,输配电及控制设备,变压器、电机、电抗器、低压成套电器设备、输变电设备的生产、维修、保养和销售。
